"id","name","created_on","created_by"
"1","Programming Languages","2024-05-11 14:52:35","1"
"2","Web Development Frameworks","2024-05-11 14:52:40","1"
"3","Database Technologies","2024-05-11 14:52:42","1"
"4","Cloud Platforms","2024-05-11 14:52:44","1"
"5","DevOps Tools","2024-05-11 14:52:45","1"
"6","Frontend Technologies","2024-05-11 14:52:47","1"
"7","Mobile App development","2024-05-11 14:52:49","1"
"8","Version Control System","2024-05-11 14:52:51","1"
"9","Machine Leraning and AI","2024-05-11 14:52:52","1"
"10","Data Science and Analytics","2024-05-11 14:52:54","1"
"11","Cybersecurity","2024-05-11 14:52:57","1"
"12","Networking","2024-05-11 14:52:59","1"
"13","Project Management","2024-05-11 14:53:04","1"
"14","Business Analysis","2024-05-11 14:53:08","1"
"15","Communication Skills","2024-05-11 14:53:11","1"
"16","Leadership and Management","2024-05-11 14:53:13","1"
"17","Time Management","2024-05-11 14:53:15","1"
"18","Problem Solving","2024-05-11 14:53:17","1"
"19","Adaptability","2024-05-11 14:53:19","1"
"20","Creativity","2024-05-11 14:53:20","1"
"21","Marketing","2024-05-11 14:53:22","1"
"22","Finance","2024-05-11 14:53:23","1"
"23","Healthcare","2024-05-11 14:53:24","1"
"24","Education","2024-05-11 14:53:26","1"
"25","Hospitality","2024-05-11 14:53:27","1"
"26","Sales","2024-05-11 14:53:28","1"
"27","Research","2024-05-11 14:53:31","1"
"28","Language Proficiency","2024-05-11 14:53:33","1"
"29","Public Speaking","2024-05-11 14:53:35","1"
"30","Critical Thinking","2024-05-11 14:53:36","1"
"31","Teamwork","2024-05-11 14:53:37","1"
"32","Negotiation","2024-05-11 14:53:38","1"
"33","Conflict Resolution","2024-05-11 14:53:39","1"
"34","Presentation Skills","2024-05-11 14:53:40","1"
"35","Stress Management","2024-05-11 14:53:41","1"
"36","Change Management","2024-05-11 14:53:42","1"
"37","Innovation","2024-05-11 14:53:43","1"
"38","Customer Service","2024-05-11 14:53:44","1"
"39","Sales Skills","2024-05-11 14:53:45","1"
"40","Marketing Skills","2024-05-11 14:53:46","1"
"41","Financial Management","2024-05-11 14:53:47","1"
"42","Event Planning","2024-05-11 14:53:48","1"
"43","HR","2024-05-11 14:53:48","1"
"44","Leadership","2024-05-11 14:53:49","1"
"45","Analytical Skills","2024-05-11 14:53:50","1"
"46","Decision Making","2024-05-11 14:53:53","1"
"47","Emotional Intelligence","2024-05-11 14:53:53","1"
"48","Interpersonal Skills","2024-05-11 14:53:54","1"
"49","Strategic Planning","2024-05-11 14:53:55","1"
