"id";"name";"country_id";"country_code";"fips_code";"iso2";"type";"latitude";"longitude";"created_at";"updated_at";"flag";"wikiDataId"
"4006";"Meghalaya";"101";"IN";"18";"ML";"state";"25.46703080";"91.36621600";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1195"
"4007";"Haryana";"101";"IN";"10";"HR";"state";"29.05877570";"76.08560100";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1174"
"4008";"Maharashtra";"101";"IN";"16";"MH";"state";"19.75147980";"75.71388840";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1191"
"4009";"Goa";"101";"IN";"33";"GA";"state";"15.29932650";"74.12399600";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1171"
"4010";"Manipur";"101";"IN";"17";"MN";"state";"24.66371730";"93.90626880";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1193"
"4011";"Puducherry";"101";"IN";"22";"PY";"Union territory";"11.94159150";"79.80831330";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q66743"
"4012";"Telangana";"101";"IN";"40";"TG";"state";"18.11243720";"79.01929970";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q677037"
"4013";"Odisha";"101";"IN";"21";"OR";"state";"20.95166580";"85.09852360";"2019-10-05 23:18:57";"2022-10-06 12:09:54";"1";"Q22048"
"4014";"Rajasthan";"101";"IN";"24";"RJ";"state";"27.02380360";"74.21793260";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1437"
"4015";"Punjab";"101";"IN";"23";"PB";"state";"31.14713050";"75.34121790";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q22424"
"4016";"Uttarakhand";"101";"IN";"39";"UK";"state";"30.06675300";"79.01929970";"2019-10-05 23:18:57";"2024-02-16 20:02:08";"1";"Q1499"
"4017";"Andhra Pradesh";"101";"IN";"02";"AP";"state";"15.91289980";"79.73998750";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1159"
"4018";"Nagaland";"101";"IN";"20";"NL";"state";"26.15843540";"94.56244260";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1599"
"4019";"Lakshadweep";"101";"IN";"14";"LD";"Union territory";"10.32802650";"72.78463360";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q26927"
"4020";"Himachal Pradesh";"101";"IN";"11";"HP";"state";"31.10482940";"77.17339010";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1177"
"4021";"Delhi";"101";"IN";"07";"DL";"Union territory";"28.70405920";"77.10249020";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1353"
"4022";"Uttar Pradesh";"101";"IN";"36";"UP";"state";"26.84670880";"80.94615920";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1498"
"4023";"Andaman and Nicobar Islands";"101";"IN";"01";"AN";"Union territory";"11.74008670";"92.65864010";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q40888"
"4024";"Arunachal Pradesh";"101";"IN";"30";"AR";"state";"28.21799940";"94.72775280";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1162"
"4025";"Jharkhand";"101";"IN";"38";"JH";"state";"23.61018080";"85.27993540";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1184"
"4026";"Karnataka";"101";"IN";"19";"KA";"state";"15.31727750";"75.71388840";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1185"
"4027";"Assam";"101";"IN";"03";"AS";"state";"26.20060430";"92.93757390";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1164"
"4028";"Kerala";"101";"IN";"13";"KL";"state";"10.85051590";"76.27108330";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1186"
"4029";"Jammu and Kashmir";"101";"IN";"12";"JK";"Union territory";"33.27783900";"75.34121790";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1180"
"4030";"Gujarat";"101";"IN";"09";"GJ";"state";"22.25865200";"71.19238050";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1061"
"4031";"Chandigarh";"101";"IN";"05";"CH";"Union territory";"30.73331480";"76.77941790";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q43433"
"4033";"Dadra and Nagar Haveli and Daman and Diu";"101";"IN";"32";"DH";"Union territory";"20.39737360";"72.83279910";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q66710"
"4034";"Sikkim";"101";"IN";"29";"SK";"state";"27.53297180";"88.51221780";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1505"
"4035";"Tamil Nadu";"101";"IN";"25";"TN";"state";"11.12712250";"78.65689420";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1445"
"4036";"Mizoram";"101";"IN";"31";"MZ";"state";"23.16454300";"92.93757390";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1502"
"4037";"Bihar";"101";"IN";"34";"BR";"state";"25.09607420";"85.31311940";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1165"
"4038";"Tripura";"101";"IN";"26";"TR";"state";"23.94084820";"91.98815270";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1363"
"4039";"Madhya Pradesh";"101";"IN";"35";"MP";"state";"22.97342290";"78.65689420";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1188"
"4040";"Chhattisgarh";"101";"IN";"37";"CT";"state";"21.27865670";"81.86614420";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1168"
"4852";"Ladakh";"101";"IN";NULL;"LA";"Union territory";"34.22684750";"77.56194190";"2019-10-05 23:18:57";"2022-03-13 16:09:54";"1";"Q200667"
"4853";"West Bengal";"101";"IN";"28";"WB";"state";"22.98675690";"87.85497550";"2019-10-05 23:18:57";"2022-03-13 12:57:52";"1";"Q1356"
