designation,value
.NET Developer,1118
.NET MVC Developer,1119
.NET Software Developer,1120
.NET UI Developer,1121
2D Character Animator &amp; Graphic Designer,664
2D Graphic Designer,665
3D Graphic Designer,666
3D Visualizer &amp; Graphic Designer,667
AC Technician,668
AI Consultant,684
AI Data Annotator,685
AI Developer,686
AI Engineer,206
AI Research Engineer,687
AI Solution Architect,688
AI Specialist,432
AI Trainer,689
AI/ML Engineer,690
AIOps Engineer,691
API Developer,699
API Integration Specialist,700
AR Caller / Accounts Receivable Analyst,705
ASP.NET Developer,708
AV Executive / Video Editor,721
AWS Cloud Engineer,722
AWS DevOps Engineer,723
Academic Advisor,388
Academic Advisor,638
Academic Coordinator,612
Academic Counselor,634
Academic Head,615
Academic Manager,614
Academic Researcher,642
Account Director,293
Account Executive,417
Account Manager,46
Account Resolution Specialist,390
Account Services Executive,669
Accountant,135
Accounts Assistant,670
Accounts Executive,671
Accounts Head / GM Accounts,672
Accounts Officer,673
Accounts Payable Specialist,387
Accounts Receivable Caller,674
Accounts Receivable Clerk,419
Accounts Receivable Executive,675
Acurepressure Therapist,676
Admin &amp; HR Executive,677
Admin Executive,678
Admin Officer,679
Administration Executive,680
Administration Manager,681
Administrative,5
Administrative Assistant,447
Administrative Coordinator,353
Administrative Specialist,386
Administrative: 61. Administrator,457
Administrator,335
Admission Counselor,658
Admission Officer,659
Advertising Executive,279
Advertising Manager,466
Advisor,235
Aerospace Engineer,367
Affiliate Marketing Manager,682
Agency Manager,683
Agile Project Manager,394
Air Hostess / Cabin Crew,692
Analyst,693
Analytical Chemist,694
Analytical Chemistry Scientist,695
Analytics Consultant,696
Analytics Engineer,697
Android Developer,81
Angular Developer,698
Animator,527
App Developer,701
Apparel Designer,702
Application Developer,83
Application Engineer,703
Application Security Engineer,704
Appraiser,531
Arbitrator,181
Architect,540
Area Manager,706
Area Sales Manager,707
Art Director,537
Art Teacher,593
Artificial Intelligence Engineer,373
Assembler,709
Assembly Technician,710
Assistant Librarian,652
Assistant Manager Accounting,711
Assistant Managerv HR,712
Assistant Professor,601
Assistant Professor,602
Assistant Teacher,574
Assistant Teacher,575
Assistant Vice President (AVP),713
Associate,714
Associate Product Manager,715
Associate Professor,603
Athletic Director,512
Attorney,716
Auditor,139
AutoCAD Designer,717
Automation Engineer,436
Automation QA Engineer,718
Automation Test Engineer,719
Automation Tester,89
Automotive Engineer,720
Ayurvedic Doctor,724
BI Architect,732
BI Consultant,733
BI Developer,734
BPO Executive,740
Backend Developer,127
Bancassurance Executive,725
Bancassurance Manager,726
Banking Executive,727
Banquet Manager,728
Bartender,729
Bartender Supervisor,730
Beautician,731
Benefits Administrator,148
Big Data Engineer,381
Billing Executive,735
Billing Manager,315
